airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline
neutral,1.0,no_complaint,1.0,Virgin America
positive,0.3486,no_complaint,0.0,Virgin America
neutral,0.6837,no_complaint,1.0,Virgin America
negative,1.0,Bad Flight,0.7033,Virgin America
negative,1.0,Can't Tell,1.0,Virgin America
negative,1.0,Can't Tell,0.6842,Virgin America
positive,0.6745,no_complaint,0.0,Virgin America
neutral,0.634,no_complaint,1.0,Virgin America
positive,0.6559,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,0.6769,no_complaint,0.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,0.6451,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,0.6842,Late Flight,0.3684,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,1.0,Bad Flight,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
negative,0.6705,Can't Tell,0.3614,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,1.0,Customer Service Issue,0.3557,Virgin America
negative,1.0,Customer Service Issue,1.0,Virgin America
negative,1.0,Can't Tell,0.6614,Virgin America
neutral,0.6854,no_complaint,1.0,Virgin America
negative,1.0,Bad Flight,1.0,Virgin America
neutral,0.615,no_complaint,0.0,Virgin America
negative,1.0,Flight Booking Problems,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
negative,1.0,Customer Service Issue,1.0,Virgin America
negative,1.0,Customer Service Issue,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,0.6207,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,0.6791,no_complaint,0.0,Virgin America
negative,1.0,Customer Service Issue,1.0,Virgin America
positive,0.6639,no_complaint,1.0,Virgin America
negative,0.6688,Flight Booking Problems,0.6688,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,0.6578,no_complaint,0.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,0.6799,no_complaint,1.0,Virgin America
positive,1.0,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
neutral,0.6436,no_complaint,1.0,Virgin America
neutral,0.6764,no_complaint,0.0,Virgin America
positive,0.657,no_complaint,1.0,Virgin America
neutral,1.0,no_complaint,1.0,Virgin America
